OptimNumber,lambda0,lambda1,mu0,mu1,rho,q01,q10,e0,e1,nloglike,Comments
301,0.081040325,0.031989111,0.125840935,0.000829616,0.021051838,0.019182066,0.005375791,57209199.7,276.6259522,13408.74952,
27,0.059782649,0.052035339,0.055343899,0.028481578,0.019178291,0.011959584,0.002863772,9053553.891,0.007341911,13412.26724,
165,0.000184951,0.014579067,0.15028797,0.024576861,0.020852307,0.013157475,0.005006867,13157.61892,15.42294363,13412.4423,
260,0.298341728,0.003720688,0.375478023,7.92E-07,0.01422967,0.041125558,0.023023799,136.8704965,26643.01464,13421.39967,
433,0.254334695,8.88E-09,0.264289934,6.18E-06,0.023289117,0.070485286,0.036410878,3.02089E+14,7.95E-09,13433.2073,
473,0.020256313,0.047181561,0.122437998,0.015306878,0.02458659,0.015463808,0.003236276,594.1554814,2.426624592,13435.09009,
154,0.00670508,0.0232761,0.147389585,0.005356435,0.019113067,0.018618258,0.006988761,49981.45058,5.79E-05,13438.70463,
207,9.48E-05,0.006810138,0.281205328,0.003988546,0.01744247,0.026784722,0.014483912,84290.97292,1998.830416,13439.80836,
298,0.708633761,0.011957054,0.664400403,0.001351584,0.014275689,0.025034675,0.006531149,1181.480938,1002.843503,13440.98626,
495,0.081937774,0.003176076,0.052995809,0.031337995,0.026919591,0.015738202,0.018750479,187541.5248,0.009693963,13445.52651,
357,0.02005273,0.003575356,0.186487821,2.25E-08,0.017434906,0.032692497,0.016733622,35851.92953,0.003805104,13452.80999,
66,0.066543987,0.042726085,0.102698457,0.046931025,0.017849384,0.010780977,0.003345863,31.64099138,4931.268131,13455.45752,
463,0.26006944,0.012263249,0.255697883,0.02138396,0.015415979,0.01537583,0.000427776,1836.921286,2.44E-08,13455.53646,
398,0.183379562,0.002960563,0.195331071,0.016135457,0.017357835,0.019715874,0.010876908,0.116299041,3507.71517,13455.68108,
247,0.002429988,0.032226528,0.151387474,0.011797416,0.02052616,0.012660135,0.003932174,2878.482205,12.10157555,13457.26401,
117,0.037130326,0.000100963,0.043943106,0.035681252,0.025973303,0.018260129,0.004899819,217850163.7,21.84968863,13478.34574,
15,0.005279363,0.000449802,0.228165261,0.003931,0.020607608,0.037824042,0.02231369,534.9825444,103.5341599,13484.76941,
160,0.000707774,0.00741014,0.289334291,9.93E-06,0.01741462,0.032983937,0.018150119,392.4702779,14.95829502,13490.2969,
222,0.001670264,0.006181509,0.268166006,0.00040684,0.018966152,0.034344678,0.023786336,5178.791064,11.51845027,13491.6405,
133,0.000115224,0.006045131,0.290016449,0.000108697,0.016411444,0.035079677,0.016346125,109698.4402,50224.05893,13491.96853,
358,0.271979462,0.003344967,0.266844864,0.006640899,0.018281525,0.036277803,0.025561805,0.340025811,4210.832908,13494.63996,
393,0.000622287,0.015922433,0.184595629,0.000854782,0.019973465,0.029680579,0.014664556,4224.664819,204.0042709,13496.57943,
102,0.161247789,0.000947915,0.191663631,3.11E-06,0.016818295,0.047352258,0.028763298,655.6181347,1701494.663,13498.96909,
140,0.311711199,0.000350931,0.271702307,0.005159132,0.006776271,0.02858958,0.018403516,100.1954352,2635.58265,13500.54127,
410,0.003382587,0.0010796,0.301983379,0.00139672,0.01496026,0.047065823,0.023842822,40451.27387,149.103294,13504.30415,
272,0.012364232,0.018718755,0.130693753,0.018409177,0.020941931,0.009213399,0.012291349,8.979801024,3753.532639,13504.72793,
56,0.000493075,0.021466275,0.117763009,0.040243169,0.015214487,0.010062105,0.008733835,6056179.536,20.77304608,13505.45087,
254,0.034032581,0.038605068,0.122745946,0.000160639,0.02100004,0.007868206,0.010673579,3170.029206,200.5557203,13508.08347,
75,1.552442637,0.002518722,1.546277046,0.007050049,0.010516977,0.020685974,0.021191573,9.605457757,0.957760282,13509.51817,
253,0.137285011,0.027653085,0.015096143,0.013776769,0.026613649,0.010577925,0.0042874,4.263760064,0.625085974,13513.18566,
265,1.11587728,0.006190798,1.091169887,0.003891979,0.011579414,0.031664175,0.019615996,5.936840058,225.7734067,13514.93386,
394,0.754680116,0.022061197,0.828859113,0.004752522,0.015958921,0.027704413,0.016181962,684.3909907,0.003974783,13516.40432,
462,0.102641537,0.01228914,0.207696871,1.80E-05,0.013239361,0.015497353,0.02169188,280473.5439,14.45527156,13519.46415,
90,0.889672468,3.49E-05,0.94724995,0.015242384,0.014779301,0.029851435,0.01735405,27674356.52,2.62E-05,13519.80627,
138,0.223664815,3.72E-06,0.224191908,0.015499775,0.01793278,0.02518988,0.013580965,0.015809476,3043.026272,13520.41374,
372,0.094977535,0.028996849,0.182193732,0.000132771,0.024207273,0.031560341,0.011016998,191.8317704,6504.051553,13520.41675,
9,0.000390336,0.008110403,0.30315044,0.000456762,0.017676246,0.036102102,0.018304875,23675333.69,2.548486758,13527.48529,
108,0.083295206,0.024239241,0.087667314,0.02205031,0.021522543,0.000544059,0.011397925,3104.983419,30.3498793,13529.99163,
219,0.895508791,4.76E-05,0.932077968,0.001015007,0.006380526,0.053217456,0.024837915,2954419.969,2809640.941,13531.11359,
70,0.003098476,0.01441065,0.131087122,0.002217911,0.029790574,0.024951736,0.014272168,67.62320503,0.020585036,13533.24042,
97,0.062398237,2.63E-06,0.092687063,0.02653371,0.036752901,0.028375144,0.003399942,0.149476504,3.96E-21,13534.67901,
308,0.000223999,0.008355351,0.282703061,1.39E-05,0.016574982,0.0353993,0.015756667,2459.019521,9779.882435,13535.05649,
302,0.000334697,0.013104696,0.262937143,0.005165209,0.020287148,0.024415339,0.014650437,141248.4929,4288978.615,13538.04237,
437,0.000456827,0.007397762,0.287933204,4.39E-09,0.016827701,0.031805369,0.018171553,62499776.94,18.96088118,13541.39614,
447,0.149820821,0.025624485,0.015897336,0.010445673,0.024661005,0.020446623,0.008941252,26138.22157,6906.001558,13547.59082,
413,0.004000686,0.006207045,0.300781617,0.000230457,0.015514576,0.030316298,0.021651136,136.7628054,4310.514944,13554.60483,
430,0.138495071,5.02E-05,0.210694388,0.00190641,0.019428961,0.027667515,0.001593906,28237.57992,6.78E-05,13556.50701,
452,0.05018293,0.022531771,0.11166309,0.023920399,0.022603225,0.014877704,0.00536208,10.38601694,4897160.821,13567.83798,
152,0.000293645,0.00525211,0.331025203,3.35E-08,0.016348219,0.043120883,0.025368918,15712264.26,7.934957244,13568.94965,
420,0.000331901,0.002704225,0.205271222,5.56E-05,0.017840866,0.039971737,0.014909497,1057576.554,53.03721893,13572.25017,
187,0.417213797,1.56E-05,0.401191228,5.96E-05,0.015261393,0.039151459,0.052706792,92567.39474,0.501818726,13573.21943,
103,1.07E-05,0.009996636,0.298354566,8.87E-05,0.016275013,0.028821443,0.019034069,34783795895,86.09606721,13576.11862,
455,2.03E-07,0.081810077,0.10711717,1.88E-21,0.019018699,0.015237899,0.006757467,36625696432,1.81762E+15,13590.66096,
439,1.964362098,0.000930674,1.920169465,0.00591951,0.011493618,0.045090187,0.016713679,3549.708374,33.68949693,13594.6007,
49,0.852104523,0.007209552,0.891950792,0.006947069,0.010820112,0.032580965,0.018593074,0.051162472,311.9754688,13596.69945,
216,0.060373029,0.04267905,0.134236934,1.70E-08,0.025788957,0.014815844,0.008890285,28195.5527,7194555.542,13600.26968,
283,2.727447349,0.002746701,2.757486346,0.005093489,0.008419889,0.02131014,0.017899632,52.73735251,0.083657751,13601.86335,
440,0.088526576,0.023538474,0.06886408,3.67E-09,0.02795174,0.027479976,0.022696383,35625761.79,4290.864289,13606.00616,
197,0.23647401,0.05633052,0.197275614,0.002679176,0.019492441,0.002985784,0.010393557,22065.85252,60.48184865,13612.87477,
445,0.033429156,0.005993461,0.149148516,3.97E-08,0.02005171,0.032725243,0.00519243,0.182898595,15.16535301,13619.06873,
22,1.89979387,0.001704648,1.899735965,0.00207717,0.014096915,0.037341317,0.027505756,3067013.106,8.935612029,13620.17766,
137,0.413839979,0.004442469,0.429045629,0.057821747,0.012621448,0.010697339,0.008008953,38850.46269,566920.9799,13623.12997,
230,0.112875659,0.017232052,0.126371711,0.032093226,0.016897124,0.00015566,0.01016393,0.061244351,0.218505994,13625.17076,
109,2.320590279,2.00E-05,2.366715347,0.012635918,0.010220387,0.025472115,0.011647236,13856.70391,82.15475239,13632.23203,
42,0.008139706,0.019677891,0.380571096,0.001474334,0.024832555,0.011297713,0.013852679,2769.974032,133.6584027,13632.99957,
408,0.055552786,0.000416028,0.130050025,0.025421211,0.007796065,0.031539503,0.018046619,2841.582845,0.006837342,13644.88237,
209,0.000242254,0.041932816,0.108558381,0.002912503,0.023543339,0.021692854,0.008129761,204557568.8,0.031453065,13667.8825,
356,0.138954284,0.024457619,0.000781475,0.026253097,0.027880594,0.014465226,0.007696559,4.99183039,5.446637135,13675.64784,
379,1.424322176,7.01E-10,1.473764224,0.000233898,0.012412879,0.054025398,0.03571609,430269968.9,10.10471688,13678.39825,
28,0.000307076,0.022041447,0.178909745,0.000211438,0.019452771,0.028276469,0.011111534,1.29E-05,27.32569952,13680.6187,
273,0.001055361,0.076483028,0.067663912,0.019863153,0.026098816,0.011817046,0.009836223,2262484.432,842808.3289,13688.49224,
284,0.296609218,0.00621423,0.320642237,0.000360733,0.037123749,0.027613217,0.031251022,463076502.3,0.407599662,13692.45474,
100,0.08401767,0.057231982,0.091322336,7.83E-06,0.023223984,0.012236144,0.007304069,0.001843972,1894.347827,13697.96555,
126,0.19619223,0.064734774,0.084895592,0.053830835,0.021757955,0.005930697,0.001464918,15005.39364,17.00238898,13699.55864,
186,1.80E-07,0.008127072,0.291268812,0.004495642,0.019792841,0.026786987,0.014515976,695.2225157,8301641.202,13699.91938,
91,0.179978381,0.005841854,0.000559748,0.024554401,0.025453775,0.017706064,0.009609736,729.9325255,0.006837343,13700.9469,
172,2.67E-05,0.024937589,0.111466564,1.92E-08,0.02195359,0.031083842,0.015126458,174606.8669,71531.60887,13702.97109,
405,0.27166725,2.81E-05,0.288798668,5.43E-06,0.015174126,0.056095971,0.032432932,43.627066,81511764.2,13704.29232,
449,0.778871359,0.00563945,0.753069634,0.00149673,0.008388397,0.032535556,0.017433183,2.595169168,351174.0812,13706.9707,
324,0.348721738,0.002256146,0.383147773,3.78E-09,0.019124583,0.051439285,0.030461912,2.220663177,3758216.013,13715.58772,
274,0.162421213,0.011184171,1.17E-05,0.027323955,0.028604139,0.016327851,0.00690987,189013.1076,198.294306,13720.80962,
88,0.214840131,0.00120438,0.296036091,0.00816654,0.017130021,0.032297305,0.018536523,0.081631016,24387173.73,13727.32078,
199,0.000149524,4.45E-08,0.322589686,6.45E-11,0.017333064,0.045061798,0.026873292,2089469.776,17653244.83,13729.36436,
