Simulation_number,lambda0,lambda1,mu0,mu1,rho0,rho1,q01,q10,e0,e1,nloglike,Comments
432,0.478630735,0.005630428,0.522490348,0.003877699,0.019134578,0.017438587,0.029943024,0.008112469,84.64223772,379.469419,13363.76108,
110,0.181290627,0.00121064,0.265008245,2.03E-05,0.037595779,0.007247545,0.043196687,0.030249103,0.815731809,22856.30775,13371.93606,
491,0.272096328,0.017960233,0.258782059,0.000919347,0.035820569,0.012699655,0.016867422,0.008431407,0.365875087,53.06830701,13375.39644,
214,0.087925575,0.021336256,0.101511404,0.02338914,0.032787546,0.018384724,0.011318754,0.006890654,0.308234193,4969.973725,13389.12932,
380,0.114715415,0.007179278,0.208773886,0.000106076,0.043562732,0.005616831,0.046111072,0.023278447,13.17430002,462183.4404,13399.64946,
266,0.002077771,6.01E-07,0.221235927,0.014694585,0.042464565,0.006584199,0.042399637,0.019835845,2433429.574,0.000120356,13401.10991,
264,0.009006099,0.020353562,0.14578008,5.08E-05,0.046189955,0.006343125,0.048773173,0.023461891,3067125376,0.003898537,13404.97618,
438,0.745546102,0.015524596,0.740460177,0.000820621,0.037709007,0.008709467,0.026617159,0.011186786,1708.812911,54.03528736,13409.24217,
83,0.00979594,2.99E-05,0.223623856,0.008214627,0.053481546,0.001358148,0.065370239,0.027831509,5666532791,0.406306777,13409.35359,
194,0.047399138,0.003323108,0.210385399,0.000753807,0.057272078,2.03E-10,0.080134755,0.040386993,2550564.626,5.72E-06,13412.21395,
474,0.041906307,0.012015817,0.149608172,0.04101572,0.029062079,0.007446978,0.005413622,0.011283615,0.411626853,58.0465378,13412.54857,
4,0.149417157,6.14E-05,0.277943932,2.13E-07,0.026597243,0.008135904,0.050102612,0.031912283,603.7979188,20814153.52,13417.31563,
149,1.258154012,0.004252924,1.265535444,0.004275996,0.032930569,0.009009643,0.025931079,0.018095823,7111.926708,32.68700531,13425.03403,
374,1.033106604,0.002722841,1.01578536,1.36E-05,0.026891443,0.006845804,0.035102863,0.019407707,234084.5356,10.00776452,13426.64623,
417,0.08117144,0.030882936,0.028327373,0.045055519,0.022874534,0.015123391,0.014911347,0.007022586,833.0778613,0.088786695,13427.43322,
125,0.06198927,0.030826515,0.069752434,0.021614339,0.032626795,0.017815648,0.014374995,2.53E-05,166474.3741,6915.790407,13429.85598,
32,0.001547387,1.20E-05,0.234449029,2.98E-11,0.040355611,0.003249727,0.064427649,0.033993323,6.97717E+11,0.104735535,13430.74357,
377,0.007061797,0.037721357,0.07483935,0.017261338,0.053513946,0.013592837,0.017531103,0.003667195,1143192.381,15.76630309,13437.76127,
369,0.015451793,0.000129321,0.188234112,0.000118558,0.052106834,0.006676963,0.145072854,0.075573193,280649.5358,1067.333799,13438.44147,
61,0.1299609,0.039106501,0.091832768,0.047594093,0.033446345,0.01087082,0.002929154,0.005841834,13182.10974,39.63912552,13441.09683,
289,0.061141444,0.017138251,0.082792795,0.025040617,0.027600926,0.015593226,0.01818419,5.89E-07,1402.331052,652.1517563,13441.16033,
349,0.054863415,8.14E-05,0.0582373,0.040002343,0.045621497,0.014707818,0.018356426,0.003399813,3280441185,0.290066029,13442.67967,
335,0.002314722,0.001604132,0.178322951,0.030697967,0.048418286,0.011148087,0.027356331,0.015236247,8190.703452,247822.2909,13455.3013,
352,0.000316236,0.020619913,0.216631623,4.84E-09,0.031860171,0.002431784,0.036556393,0.015270601,9041.599858,751.9279415,13456.62553,
24,0.07576513,0.004648569,0.215351517,0.002260233,0.04846192,2.11E-06,0.052996374,0.041998504,50819.56594,0.133897196,13458.03404,
181,0.132110859,0.041353478,0.061308596,0.027147239,0.025463035,0.016582379,0.01678672,0.003600764,1.801726753,325.395561,13467.28751,
429,0.073372928,0.0271242,0.096622222,0.027267032,0.021813487,0.036527256,0.017315246,0.00049703,6255.764917,18.46202941,13468.90171,
